Name,URL,Package Name
Okular,https://okular.kde.org/tr/,Adobe Acrobat (64-bit)
Octave,,MATLAB
DarkTable,,Adobe Lightroom
DrawIO,,Microsoft Visio
BleachBit,,Ccleaner
Pidgin,,Cisco Jabber
Kmail,,Outlook
Bitwarden,,1Password
Blender,,Adobe After Effects
Blender,,Autodesk Maya
FreeCAD,,AutoCAD
Kdenlive,,Adobe Premiere Pro
Inkscape,,Adobe Illustrator
OpenProject,,Microsoft Project
GnuCash,,QuickBooks
FreeCAD,,SolidWorks 
Bluefish,,Adobe Dreamweaver
GNS3,,Cisco Packet Tracer
Scribus,,Adobe InDesign 
TensorFlow,,IBM Watson
VirtualBox,,Vmware Workstation
pyRenamer,,Advanced Renamer
KDE Connect,,Airdroid
Audacious,,Aimp
VLC,,Winamp
VLC,,Media Player
Firefox,,Safari
Firefox,,Edge
Krita,,Artweaver
Pencil Project,,Balsamiq Wireframes
SimpleScreenRecorder ,,Bandicam
Meld,,Beyond Compare
OBS Studio,,Camtasia
SQLiteBrowser,,DB Browser for SQLite
qBittorrent,,Deluge
CodeBlocks,,Dev C++
Joplin,,Evernote
Midnight Commander,,Far Manager
Kodi,,GoPro VR Player
Mattermost,,Slack
Firefox,,Opera
Remmina,,Windows Remote Desktop
FileZilla,,WinSCP
7-Zip,,Winzip
7-Zip,,WinRAR
FreeMind,,Xmind
Joplin,,Zoho Notebook
Mattermost,,Zulip
Joplin,,Zim Desktop
Pidgin,,Skype
